"id","date_day","day","colour"
"306",2018-08-16,4,"#8c510a"
"307",2018-08-17,5,"#543005"
"308",2018-08-18,6,"#80cdc1"
"309",2018-08-19,7,"#01665e"
"310",2018-08-20,1,"#f6e8c3"
"311",2018-08-21,2,"#dfc27d"
"312",2018-08-22,3,"#bf812d"
"313",2018-08-23,4,"#8c510a"
"314",2018-08-24,5,"#543005"
"315",2018-08-25,6,"#80cdc1"
"316",2018-08-26,7,"#01665e"
"317",2018-08-27,1,"#f6e8c3"
"318",2018-08-28,2,"#dfc27d"
"319",2018-08-29,3,"#bf812d"
"320",2018-08-30,4,"#8c510a"
"321",2018-08-31,5,"#543005"
"322",2018-09-01,6,"#80cdc1"
"323",2018-09-02,7,"#01665e"
"324",2018-09-03,1,"#f6e8c3"
"325",2018-09-04,2,"#dfc27d"
"326",2018-09-05,3,"#bf812d"
"327",2018-09-06,4,"#8c510a"
"328",2018-09-07,5,"#543005"
"329",2018-09-08,6,"#80cdc1"
"330",2018-09-09,7,"#01665e"
"331",2018-09-10,1,"#f6e8c3"
"332",2018-09-11,2,"#dfc27d"
"333",2018-09-12,3,"#bf812d"
"334",2018-09-13,4,"#8c510a"
"335",2018-09-14,5,"#543005"
"336",2018-09-15,6,"#80cdc1"
"337",2018-09-16,7,"#01665e"
"338",2018-09-17,1,"#f6e8c3"
"339",2018-09-18,2,"#dfc27d"
"340",2018-09-19,3,"#bf812d"
"341",2018-09-20,4,"#8c510a"
"342",2018-09-21,5,"#543005"
"343",2018-09-22,6,"#80cdc1"
"344",2018-09-23,7,"#01665e"
"345",2018-09-24,1,"#f6e8c3"
"346",2018-09-25,2,"#dfc27d"
"347",2018-09-26,3,"#bf812d"
"348",2018-09-27,4,"#8c510a"
"349",2018-09-28,5,"#543005"
"350",2018-09-29,6,"#80cdc1"
"351",2018-09-30,7,"#01665e"
"352",2018-10-01,1,"#f6e8c3"
"353",2018-10-02,2,"#dfc27d"
"354",2018-10-03,3,"#bf812d"
"355",2018-10-04,4,"#8c510a"
"356",2018-10-05,5,"#543005"
"357",2018-10-06,6,"#80cdc1"
"358",2018-10-07,7,"#01665e"
"359",2018-10-08,1,"#f6e8c3"
"360",2018-10-09,2,"#dfc27d"
"361",2018-10-10,3,"#bf812d"
"362",2018-10-11,4,"#8c510a"
"363",2018-10-12,5,"#543005"
"364",2018-10-13,6,"#80cdc1"
"365",2018-10-14,7,"#01665e"
"366",2018-10-15,1,"#f6e8c3"
"367",2018-10-16,2,"#dfc27d"
"368",2018-10-17,3,"#bf812d"
"369",2018-10-18,4,"#8c510a"
"370",2018-10-19,5,"#543005"
"371",2018-10-20,6,"#80cdc1"
"372",2018-10-21,7,"#01665e"
"373",2018-10-22,1,"#f6e8c3"
"374",2018-10-23,2,"#dfc27d"
